"CONTADOR","TORRE","HELICE","PE","I_GRAUS","L_m","NSPTponta","T_kNm"
1,"TORRE 36-1_D1SE",6,"A2",23,1,0,0
2,"TORRE 36-1_D1SE",6,"A2",23,2,2,5.56
3,"TORRE 36-1_D1SE",6,"A2",23,3,3,7.73
4,"TORRE 36-1_D1SE",6,"A2",23,4,6,8.68
5,"TORRE 36-1_D1SE",6,"A2",23,5,6,10.3
6,"TORRE 36-1_D1SE",6,"A2",23,6,7,10.98
7,"TORRE 36-1_D1SE",6,"A2",23,7,6,13.15
8,"TORRE 36-1_D1SE",6,"A2",23,8,7,13.83
9,"TORRE 36-1_D1SE",6,"A2",23,8.75,8,16.13
1,"TORRE 36-1_D1SE",6,"A3",23,1,0,0
2,"TORRE 36-1_D1SE",6,"A3",23,2,2,5.02
3,"TORRE 36-1_D1SE",6,"A3",23,3,3,5.56
4,"TORRE 36-1_D1SE",6,"A3",23,4,6,7.73
5,"TORRE 36-1_D1SE",6,"A3",23,5,6,9.36
6,"TORRE 36-1_D1SE",6,"A3",23,6,7,10.58
7,"TORRE 36-1_D1SE",6,"A3",23,7,6,12.07
8,"TORRE 36-1_D1SE",6,"A3",23,8,7,13.15
9,"TORRE 36-1_D1SE",6,"A3",23,8.75,8,15.86
1,"TORRE 36-1_D1SE",6,"A5",5,1,0,0
2,"TORRE 36-1_D1SE",6,"A5",5,2,2,6.37
3,"TORRE 36-1_D1SE",6,"A5",5,3,3,7.59
4,"TORRE 36-1_D1SE",6,"A5",5,4,6,8.68
5,"TORRE 36-1_D1SE",6,"A5",5,5,6,10.3
6,"TORRE 36-1_D1SE",6,"A5",5,6,7,11.93
7,"TORRE 36-1_D1SE",6,"A5",5,7,6,13.15
8,"TORRE 36-1_D1SE",6,"A5",5,8,7,13.69
9,"TORRE 36-1_D1SE",6,"A5",5,8.85,8,15.86
1,"TORRE 36-1_D1SE",6,"A6",5,1,0,0
2,"TORRE 36-1_D1SE",6,"A6",5,2,2,6.92
3,"TORRE 36-1_D1SE",6,"A6",5,3,3,10.3
4,"TORRE 36-1_D1SE",6,"A6",5,4,6,10.98
5,"TORRE 36-1_D1SE",6,"A6",5,5,6,10.71
6,"TORRE 36-1_D1SE",6,"A6",5,6,7,11.39
7,"TORRE 36-1_D1SE",6,"A6",5,7,6,13.15
8,"TORRE 36-1_D1SE",6,"A6",5,8,7,13.83
9,"TORRE 36-1_D1SE",6,"A6",5,8.75,8,15.86
1,"TORRE 36-1_D1SE",6,"B1",5,1,0,0
2,"TORRE 36-1_D1SE",6,"B1",5,2,2,5.56
3,"TORRE 36-1_D1SE",6,"B1",5,3,3,7.59
4,"TORRE 36-1_D1SE",6,"B1",5,4,6,9.08
5,"TORRE 36-1_D1SE",6,"B1",5,5,6,10.3
6,"TORRE 36-1_D1SE",6,"B1",5,6,7,10.98
7,"TORRE 36-1_D1SE",6,"B1",5,7,6,13.15
8,"TORRE 36-1_D1SE",6,"B1",5,8,7,13.69
9,"TORRE 36-1_D1SE",6,"B1",5,8.95,8,15.46
1,"TORRE 36-1_D1SE",6,"B2",23,1,0,0
2,"TORRE 36-1_D1SE",6,"B2",23,2,2,3.66
3,"TORRE 36-1_D1SE",6,"B2",23,3,3,5.29
4,"TORRE 36-1_D1SE",6,"B2",23,4,6,8.68
5,"TORRE 36-1_D1SE",6,"B2",23,5,6,9.63
6,"TORRE 36-1_D1SE",6,"B2",23,6,7,11.8
7,"TORRE 36-1_D1SE",6,"B2",23,7,6,13.29
8,"TORRE 36-1_D1SE",6,"B2",23,8,7,13.56
9,"TORRE 36-1_D1SE",6,"B2",23,8.85,8,15.59
1,"TORRE 36-1_D1SE",6,"B3",23,1,0,0
2,"TORRE 36-1_D1SE",6,"B3",23,2,2,4.61
3,"TORRE 36-1_D1SE",6,"B3",23,3,3,6.37
4,"TORRE 36-1_D1SE",6,"B3",23,4,6,8
5,"TORRE 36-1_D1SE",6,"B3",23,5,6,8.81
6,"TORRE 36-1_D1SE",6,"B3",23,6,7,10.3
7,"TORRE 36-1_D1SE",6,"B3",23,7,6,11.52
8,"TORRE 36-1_D1SE",6,"B3",23,8,7,13.15
9,"TORRE 36-1_D1SE",6,"B3",23,8.85,8,16.13
1,"TORRE 36-1_D1SE",6,"B4",5,1,0,0
2,"TORRE 36-1_D1SE",6,"B4",5,2,2,5.02
3,"TORRE 36-1_D1SE",6,"B4",5,3,3,6.64
4,"TORRE 36-1_D1SE",6,"B4",5,4,6,7.73
5,"TORRE 36-1_D1SE",6,"B4",5,5,6,9.36
6,"TORRE 36-1_D1SE",6,"B4",5,6,7,10.3
7,"TORRE 36-1_D1SE",6,"B4",5,7,6,10.98
8,"TORRE 36-1_D1SE",6,"B4",5,8,7,13.42
9,"TORRE 36-1_D1SE",6,"B4",5,8.75,8,15.86
1,"TORRE 36-1_D1SE",6,"B5",5,1,0,0
2,"TORRE 36-1_D1SE",6,"B5",5,2,2,4.61
3,"TORRE 36-1_D1SE",6,"B5",5,3,3,8
4,"TORRE 36-1_D1SE",6,"B5",5,4,6,8.27
5,"TORRE 36-1_D1SE",6,"B5",5,5,6,10.3
6,"TORRE 36-1_D1SE",6,"B5",5,6,7,10.98
7,"TORRE 36-1_D1SE",6,"B5",5,7,6,13.15
8,"TORRE 36-1_D1SE",6,"B5",5,8,7,13.56
9,"TORRE 36-1_D1SE",6,"B5",5,8.95,8,15.73
1,"TORRE 36-1_D1SE",6,"B9",20,1,0,0
2,"TORRE 36-1_D1SE",6,"B9",20,2,2,6.37
3,"TORRE 36-1_D1SE",6,"B9",20,3,3,6.92
4,"TORRE 36-1_D1SE",6,"B9",20,4,6,8.27
5,"TORRE 36-1_D1SE",6,"B9",20,5,6,10.71
6,"TORRE 36-1_D1SE",6,"B9",20,6,7,11.93
7,"TORRE 36-1_D1SE",6,"B9",20,7,6,13.15
8,"TORRE 36-1_D1SE",6,"B9",20,8,7,13.56
9,"TORRE 36-1_D1SE",6,"B9",20,8.75,8,16.13
1,"TORRE 36-1_D1SE",6,"C1",5,1,0,0
2,"TORRE 36-1_D1SE",6,"C1",5,2,2,3.93
3,"TORRE 36-1_D1SE",6,"C1",5,3,3,5.83
4,"TORRE 36-1_D1SE",6,"C1",5,4,6,8.68
5,"TORRE 36-1_D1SE",6,"C1",5,5,6,10.58
6,"TORRE 36-1_D1SE",6,"C1",5,6,7,12.07
7,"TORRE 36-1_D1SE",6,"C1",5,7,6,12.61
8,"TORRE 36-1_D1SE",6,"C1",5,8,7,14.24
9,"TORRE 36-1_D1SE",6,"C1",5,9,8,16
1,"TORRE 36-1_D1SE",6,"C2",23,1,0,0
2,"TORRE 36-1_D1SE",6,"C2",23,2,2,3.8
3,"TORRE 36-1_D1SE",6,"C2",23,3,3,4.34
4,"TORRE 36-1_D1SE",6,"C2",23,4,6,8
5,"TORRE 36-1_D1SE",6,"C2",23,5,6,10.3
6,"TORRE 36-1_D1SE",6,"C2",23,6,7,11.39
7,"TORRE 36-1_D1SE",6,"C2",23,7,6,12.61
8,"TORRE 36-1_D1SE",6,"C2",23,8,7,14.37
9,"TORRE 36-1_D1SE",6,"C2",23,9,8,16.81
1,"TORRE 36-1_D1SE",6,"C3",23,1,0,0
2,"TORRE 36-1_D1SE",6,"C3",23,2,2,3.93
3,"TORRE 36-1_D1SE",6,"C3",23,3,3,4.47
4,"TORRE 36-1_D1SE",6,"C3",23,4,6,7.59
5,"TORRE 36-1_D1SE",6,"C3",23,5,6,10.03
6,"TORRE 36-1_D1SE",6,"C3",23,6,7,11.39
7,"TORRE 36-1_D1SE",6,"C3",23,7,6,12.47
8,"TORRE 36-1_D1SE",6,"C3",23,8,7,15.32
9,"TORRE 36-1_D1SE",6,"C3",23,9,8,16.54
1,"TORRE 36-1_D1SE",6,"C4",5,1,0,0
2,"TORRE 36-1_D1SE",6,"C4",5,2,2,3.8
3,"TORRE 36-1_D1SE",6,"C4",5,3,3,4.88
4,"TORRE 36-1_D1SE",6,"C4",5,4,6,6.64
5,"TORRE 36-1_D1SE",6,"C4",5,5,6,8.54
6,"TORRE 36-1_D1SE",6,"C4",5,6,7,11.39
7,"TORRE 36-1_D1SE",6,"C4",5,7,6,12.61
8,"TORRE 36-1_D1SE",6,"C4",5,8,7,14.78
9,"TORRE 36-1_D1SE",6,"C4",5,9,8,16.81
1,"TORRE 36-1_D1SE",6,"C5",5,1,0,0
2,"TORRE 36-1_D1SE",6,"C5",5,2,2,3.25
3,"TORRE 36-1_D1SE",6,"C5",5,3,3,4.88
4,"TORRE 36-1_D1SE",6,"C5",5,4,6,7.59
5,"TORRE 36-1_D1SE",6,"C5",5,5,6,10.03
6,"TORRE 36-1_D1SE",6,"C5",5,6,7,11.12
7,"TORRE 36-1_D1SE",6,"C5",5,7,6,12.34
8,"TORRE 36-1_D1SE",6,"C5",5,8,7,14.1
9,"TORRE 36-1_D1SE",6,"C5",5,9,8,16.13
1,"TORRE 36-1_D1SE",6,"C6",5,1,0,0
2,"TORRE 36-1_D1SE",6,"C6",5,2,2,3.93
3,"TORRE 36-1_D1SE",6,"C6",5,3,3,4.75
4,"TORRE 36-1_D1SE",6,"C6",5,4,6,8.68
5,"TORRE 36-1_D1SE",6,"C6",5,5,6,9.76
6,"TORRE 36-1_D1SE",6,"C6",5,6,7,10.98
7,"TORRE 36-1_D1SE",6,"C6",5,7,6,13.02
8,"TORRE 36-1_D1SE",6,"C6",5,8,7,13.97
9,"TORRE 36-1_D1SE",6,"C6",5,9,8,16
1,"TORRE 36-1_D1SE",6,"C7",20,1,0,0
2,"TORRE 36-1_D1SE",6,"C7",20,2,2,3.53
3,"TORRE 36-1_D1SE",6,"C7",20,3,3,5.15
4,"TORRE 36-1_D1SE",6,"C7",20,4,6,8
5,"TORRE 36-1_D1SE",6,"C7",20,5,6,9.36
6,"TORRE 36-1_D1SE",6,"C7",20,6,7,11.39
7,"TORRE 36-1_D1SE",6,"C7",20,7,6,12.61
8,"TORRE 36-1_D1SE",6,"C7",20,8,7,15.73
9,"TORRE 36-1_D1SE",6,"C7",20,9,8,16.68
1,"TORRE 36-1_D1SE",6,"C8",18,1,0,0
2,"TORRE 36-1_D1SE",6,"C8",18,2,2,3.8
3,"TORRE 36-1_D1SE",6,"C8",18,3,3,4.34
4,"TORRE 36-1_D1SE",6,"C8",18,4,6,7.19
5,"TORRE 36-1_D1SE",6,"C8",18,5,6,8.68
6,"TORRE 36-1_D1SE",6,"C8",18,6,7,11.25
7,"TORRE 36-1_D1SE",6,"C8",18,7,6,13.83
8,"TORRE 36-1_D1SE",6,"C8",18,8,7,15.59
9,"TORRE 36-1_D1SE",6,"C8",18,9,8,16.81
1,"TORRE 36-1_D1SE",6,"C9",20,1,0,0
2,"TORRE 36-1_D1SE",6,"C9",20,2,2,3.8
3,"TORRE 36-1_D1SE",6,"C9",20,3,3,4.75
4,"TORRE 36-1_D1SE",6,"C9",20,4,6,8.68
5,"TORRE 36-1_D1SE",6,"C9",20,5,6,10.17
6,"TORRE 36-1_D1SE",6,"C9",20,6,7,13.02
7,"TORRE 36-1_D1SE",6,"C9",20,7,6,14.1
8,"TORRE 36-1_D1SE",6,"C9",20,8,7,15.19
9,"TORRE 36-1_D1SE",6,"C9",20,9,8,16.68
1,"TORRE 36-1_D1SE",6,"D1",5,1,0,0
2,"TORRE 36-1_D1SE",6,"D1",5,2,2,3.39
3,"TORRE 36-1_D1SE",6,"D1",5,3,3,5.29
4,"TORRE 36-1_D1SE",6,"D1",5,4,6,7.59
5,"TORRE 36-1_D1SE",6,"D1",5,5,6,10.03
6,"TORRE 36-1_D1SE",6,"D1",5,6,7,12.61
7,"TORRE 36-1_D1SE",6,"D1",5,7,6,13.83
8,"TORRE 36-1_D1SE",6,"D1",5,8,7,15.73
1,"TORRE 36-1_D1SE",6,"D2",23,1,0,0
2,"TORRE 36-1_D1SE",6,"D2",23,2,2,3.66
3,"TORRE 36-1_D1SE",6,"D2",23,3,3,5.83
4,"TORRE 36-1_D1SE",6,"D2",23,4,6,9.36
5,"TORRE 36-1_D1SE",6,"D2",23,5,6,11.25
6,"TORRE 36-1_D1SE",6,"D2",23,6,7,12.75
7,"TORRE 36-1_D1SE",6,"D2",23,7,6,14.24
8,"TORRE 36-1_D1SE",6,"D2",23,8,7,15.19
1,"TORRE 36-1_D1SE",6,"D3",23,1,0,0
2,"TORRE 36-1_D1SE",6,"D3",23,2,2,3.25
3,"TORRE 36-1_D1SE",6,"D3",23,3,3,4.88
4,"TORRE 36-1_D1SE",6,"D3",23,4,6,7.59
5,"TORRE 36-1_D1SE",6,"D3",23,5,6,11.25
6,"TORRE 36-1_D1SE",6,"D3",23,6,7,13.42
7,"TORRE 36-1_D1SE",6,"D3",23,7,6,14.78
8,"TORRE 36-1_D1SE",6,"D3",23,8,7,16.68
1,"TORRE 36-1_D1SE",6,"D4",5,1,0,0
2,"TORRE 36-1_D1SE",6,"D4",5,2,2,3.8
3,"TORRE 36-1_D1SE",6,"D4",5,3,3,5.69
4,"TORRE 36-1_D1SE",6,"D4",5,4,6,8.54
5,"TORRE 36-1_D1SE",6,"D4",5,5,6,11.66
6,"TORRE 36-1_D1SE",6,"D4",5,6,7,13.29
7,"TORRE 36-1_D1SE",6,"D4",5,7,6,14.78
8,"TORRE 36-1_D1SE",6,"D4",5,8,7,16.81
1,"TORRE 36-1_D1SE",6,"D5",5,1,0,0
2,"TORRE 36-1_D1SE",6,"D5",5,2,2,3.25
3,"TORRE 36-1_D1SE",6,"D5",5,3,3,6.24
4,"TORRE 36-1_D1SE",6,"D5",5,4,6,9.36
5,"TORRE 36-1_D1SE",6,"D5",5,5,6,11.12
6,"TORRE 36-1_D1SE",6,"D5",5,6,7,14.1
7,"TORRE 36-1_D1SE",6,"D5",5,7,6,15.19
8,"TORRE 36-1_D1SE",6,"D5",5,8,7,16.54
1,"TORRE 36-1_D1SE",6,"D6",5,1,0,0
2,"TORRE 36-1_D1SE",6,"D6",5,2,2,3.53
3,"TORRE 36-1_D1SE",6,"D6",5,3,3,5.97
4,"TORRE 36-1_D1SE",6,"D6",5,4,6,8
5,"TORRE 36-1_D1SE",6,"D6",5,5,6,9.76
6,"TORRE 36-1_D1SE",6,"D6",5,6,7,12.75
7,"TORRE 36-1_D1SE",6,"D6",5,7,6,13.83
8,"TORRE 36-1_D1SE",6,"D6",5,8,7,16
1,"TORRE 36-1_D1SE",6,"D7",20,1,0,0
2,"TORRE 36-1_D1SE",6,"D7",20,2,2,3.93
3,"TORRE 36-1_D1SE",6,"D7",20,3,3,5.69
4,"TORRE 36-1_D1SE",6,"D7",20,4,6,8.54
5,"TORRE 36-1_D1SE",6,"D7",20,5,6,10.3
6,"TORRE 36-1_D1SE",6,"D7",20,6,7,12.07
7,"TORRE 36-1_D1SE",6,"D7",20,7,6,13.69
8,"TORRE 36-1_D1SE",6,"D7",20,8,7,16.13
1,"TORRE 36-1_D1SE",6,"D8",18,1,0,0
2,"TORRE 36-1_D1SE",6,"D8",18,2,2,3.53
3,"TORRE 36-1_D1SE",6,"D8",18,3,3,5.69
4,"TORRE 36-1_D1SE",6,"D8",18,4,6,7.19
5,"TORRE 36-1_D1SE",6,"D8",18,5,6,10.3
6,"TORRE 36-1_D1SE",6,"D8",18,6,7,12.61
7,"TORRE 36-1_D1SE",6,"D8",18,7,6,14.24
8,"TORRE 36-1_D1SE",6,"D8",18,8,7,16.68
1,"TORRE 36-1_D1SE",6,"D9",20,1,0,0
2,"TORRE 36-1_D1SE",6,"D9",20,2,2,3.66
3,"TORRE 36-1_D1SE",6,"D9",20,3,3,5.29
4,"TORRE 36-1_D1SE",6,"D9",20,4,6,7.32
5,"TORRE 36-1_D1SE",6,"D9",20,5,6,11.39
6,"TORRE 36-1_D1SE",6,"D9",20,6,7,12.88
7,"TORRE 36-1_D1SE",6,"D9",20,7,6,13.83
8,"TORRE 36-1_D1SE",6,"D9",20,8,7,15.73
1,"TORRE 47-2_D1SE",6,"A1",5,1,0,0
2,"TORRE 47-2_D1SE",6,"A1",5,2,2,3.25
3,"TORRE 47-2_D1SE",6,"A1",5,3,2,5.02
4,"TORRE 47-2_D1SE",6,"A1",5,4,2,5.69
5,"TORRE 47-2_D1SE",6,"A1",5,5,2,7.32
6,"TORRE 47-2_D1SE",6,"A1",5,6,0,9.36
7,"TORRE 47-2_D1SE",6,"A1",5,7,0,9.63
8,"TORRE 47-2_D1SE",6,"A1",5,8,5,10.3
9,"TORRE 47-2_D1SE",6,"A1",5,9,2,11.25
10,"TORRE 47-2_D1SE",6,"A1",5,10,4,11.39
11,"TORRE 47-2_D1SE",6,"A1",5,11,5,12.34
12,"TORRE 47-2_D1SE",6,"A1",5,12,4,13.15
13,"TORRE 47-2_D1SE",6,"A1",5,13,8,13.56
14,"TORRE 47-2_D1SE",6,"A1",5,13.8,4,15.59
1,"TORRE 47-2_D1SE",6,"A2",23,1,0,0
2,"TORRE 47-2_D1SE",6,"A2",23,2,2,2.58
3,"TORRE 47-2_D1SE",6,"A2",23,3,2,2.85
4,"TORRE 47-2_D1SE",6,"A2",23,4,2,5.29
5,"TORRE 47-2_D1SE",6,"A2",23,5,2,6.24
6,"TORRE 47-2_D1SE",6,"A2",23,6,0,7.19
7,"TORRE 47-2_D1SE",6,"A2",23,7,0,7.32
8,"TORRE 47-2_D1SE",6,"A2",23,8,5,8.54
9,"TORRE 47-2_D1SE",6,"A2",23,9,2,8.95
10,"TORRE 47-2_D1SE",6,"A2",23,10,4,10.03
11,"TORRE 47-2_D1SE",6,"A2",23,11,5,10.3
12,"TORRE 47-2_D1SE",6,"A2",23,12,4,11.12
13,"TORRE 47-2_D1SE",6,"A2",23,13,4,11.8
14,"TORRE 47-2_D1SE",6,"A2",23,14,8,12.74
15,"TORRE 47-2_D1SE",6,"A2",23,15,4,13.15
16,"TORRE 47-2_D1SE",6,"A2",23,16,8,13.83
17,"TORRE 47-2_D1SE",6,"A2",23,16.8,6,15.46
1,"TORRE 47-2_D1SE",6,"A3",23,1,0,0
2,"TORRE 47-2_D1SE",6,"A3",23,2,2,2.85
3,"TORRE 47-2_D1SE",6,"A3",23,3,2,3.66
4,"TORRE 47-2_D1SE",6,"A3",23,4,2,4.88
5,"TORRE 47-2_D1SE",6,"A3",23,5,2,5.56
6,"TORRE 47-2_D1SE",6,"A3",23,6,0,6.24
7,"TORRE 47-2_D1SE",6,"A3",23,7,0,7.32
8,"TORRE 47-2_D1SE",6,"A3",23,8,5,7.59
9,"TORRE 47-2_D1SE",6,"A3",23,9,2,8.68
10,"TORRE 47-2_D1SE",6,"A3",23,10,4,9.36
11,"TORRE 47-2_D1SE",6,"A3",23,11,5,10.3
12,"TORRE 47-2_D1SE",6,"A3",23,12,4,10.44
13,"TORRE 47-2_D1SE",6,"A3",23,13,4,11.12
14,"TORRE 47-2_D1SE",6,"A3",23,14,8,11.66
15,"TORRE 47-2_D1SE",6,"A3",23,15,4,1.25
16,"TORRE 47-2_D1SE",6,"A3",23,16,8,13.15
17,"TORRE 47-2_D1SE",6,"A3",23,17,6,13.56
18,"TORRE 47-2_D1SE",6,"A3",23,18,10,13.83
19,"TORRE 47-2_D1SE",6,"A3",23,18.04,10,15.05
1,"TORRE 47-2_D1SE",6,"A4",5,1,0,0
2,"TORRE 47-2_D1SE",6,"A4",5,2,2,2.3
3,"TORRE 47-2_D1SE",6,"A4",5,3,2,3.25
4,"TORRE 47-2_D1SE",6,"A4",5,4,2,5.02
5,"TORRE 47-2_D1SE",6,"A4",5,5,2,6.24
6,"TORRE 47-2_D1SE",6,"A4",5,6,0,6.64
7,"TORRE 47-2_D1SE",6,"A4",5,7,0,7.32
8,"TORRE 47-2_D1SE",6,"A4",5,8,5,9.36
9,"TORRE 47-2_D1SE",6,"A4",5,9,2,10.17
10,"TORRE 47-2_D1SE",6,"A4",5,10,4,10.3
11,"TORRE 47-2_D1SE",6,"A4",5,11,5,11.8
12,"TORRE 47-2_D1SE",6,"A4",5,12,4,11.93
13,"TORRE 47-2_D1SE",6,"A4",5,13,8,12.2
14,"TORRE 47-2_D1SE",6,"A4",5,14,4,12.74
15,"TORRE 47-2_D1SE",6,"A4",5,15,8,13.83
16,"TORRE 47-2_D1SE",6,"A4",5,15.52,6,15.86
1,"TORRE 47-2_D1SE",6,"A5",5,1,0,0
2,"TORRE 47-2_D1SE",6,"A5",5,2,2,3.25
3,"TORRE 47-2_D1SE",6,"A5",5,3,2,3.66
4,"TORRE 47-2_D1SE",6,"A5",5,4,2,5.02
5,"TORRE 47-2_D1SE",6,"A5",5,5,2,5.56
6,"TORRE 47-2_D1SE",6,"A5",5,6,0,7.59
7,"TORRE 47-2_D1SE",6,"A5",5,7,0,9.36
8,"TORRE 47-2_D1SE",6,"A5",5,8,5,10.03
9,"TORRE 47-2_D1SE",6,"A5",5,9,2,10.3
10,"TORRE 47-2_D1SE",6,"A5",5,10,4,11.12
11,"TORRE 47-2_D1SE",6,"A5",5,11,5,11.66
12,"TORRE 47-2_D1SE",6,"A5",5,12,4,12.34
13,"TORRE 47-2_D1SE",6,"A5",5,13,8,13.15
14,"TORRE 47-2_D1SE",6,"A5",5,14,4,14.51
15,"TORRE 47-2_D1SE",6,"A5",5,14.14,8,15.59
1,"TORRE 47-2_D1SE",6,"A6",5,1,0,0
2,"TORRE 47-2_D1SE",6,"A6",5,2,2,2.85
3,"TORRE 47-2_D1SE",6,"A6",5,3,2,5.02
4,"TORRE 47-2_D1SE",6,"A6",5,4,2,6.1
5,"TORRE 47-2_D1SE",6,"A6",5,5,2,7.59
6,"TORRE 47-2_D1SE",6,"A6",5,6,0,8.27
7,"TORRE 47-2_D1SE",6,"A6",5,7,0,9.36
8,"TORRE 47-2_D1SE",6,"A6",5,8,5,9.76
9,"TORRE 47-2_D1SE",6,"A6",5,9,2,10.3
10,"TORRE 47-2_D1SE",6,"A6",5,10,4,11.52
11,"TORRE 47-2_D1SE",6,"A6",5,11,5,11.8
12,"TORRE 47-2_D1SE",6,"A6",5,12,4,12.34
13,"TORRE 47-2_D1SE",6,"A6",5,13,8,13.15
14,"TORRE 47-2_D1SE",6,"A6",5,14,4,13.69
15,"TORRE 47-2_D1SE",6,"A6",5,14.02,4,15.46
1,"TORRE 47-2_D1SE",6,"A7",20,1,0,0
2,"TORRE 47-2_D1SE",6,"A7",20,2,2,1.9
3,"TORRE 47-2_D1SE",6,"A7",20,3,2,3.8
4,"TORRE 47-2_D1SE",6,"A7",20,4,2,5.02
5,"TORRE 47-2_D1SE",6,"A7",20,5,2,6.51
6,"TORRE 47-2_D1SE",6,"A7",20,6,0,7.32
7,"TORRE 47-2_D1SE",6,"A7",20,7,0,9.08
8,"TORRE 47-2_D1SE",6,"A7",20,8,5,10.3
9,"TORRE 47-2_D1SE",6,"A7",20,9,2,11.66
10,"TORRE 47-2_D1SE",6,"A7",20,10,4,11.8
11,"TORRE 47-2_D1SE",6,"A7",20,11,5,12.74
12,"TORRE 47-2_D1SE",6,"A7",20,12,4,13.15
13,"TORRE 47-2_D1SE",6,"A7",20,13,8,13.69
14,"TORRE 47-2_D1SE",6,"A7",20,13.84,4,15.73
1,"TORRE 47-2_D1SE",6,"A8",18,1,0,0
2,"TORRE 47-2_D1SE",6,"A8",18,2,2,4.2
3,"TORRE 47-2_D1SE",6,"A8",18,3,2,6.37
4,"TORRE 47-2_D1SE",6,"A8",18,4,2,4.88
5,"TORRE 47-2_D1SE",6,"A8",18,5,2,5.56
6,"TORRE 47-2_D1SE",6,"A8",18,6,0,8
7,"TORRE 47-2_D1SE",6,"A8",18,7,0,8.54
8,"TORRE 47-2_D1SE",6,"A8",18,8,5,10.03
9,"TORRE 47-2_D1SE",6,"A8",18,9,2,10.3
10,"TORRE 47-2_D1SE",6,"A8",18,10,4,11.52
11,"TORRE 47-2_D1SE",6,"A8",18,11,5,11.66
12,"TORRE 47-2_D1SE",6,"A8",18,12,4,12.34
13,"TORRE 47-2_D1SE",6,"A8",18,13,8,13.15
14,"TORRE 47-2_D1SE",6,"A8",18,13.83,4,15.86
1,"TORRE 47-2_D1SE",6,"A9",20,1,0,0
2,"TORRE 47-2_D1SE",6,"A9",20,2,2,2.17
3,"TORRE 47-2_D1SE",6,"A9",20,3,2,2.58
4,"TORRE 47-2_D1SE",6,"A9",20,4,2,2.85
5,"TORRE 47-2_D1SE",6,"A9",20,5,2,4.61
6,"TORRE 47-2_D1SE",6,"A9",20,6,0,6.37
7,"TORRE 47-2_D1SE",6,"A9",20,7,0,7.32
8,"TORRE 47-2_D1SE",6,"A9",20,8,5,7.86
9,"TORRE 47-2_D1SE",6,"A9",20,9,2,8.41
10,"TORRE 47-2_D1SE",6,"A9",20,10,4,9.08
11,"TORRE 47-2_D1SE",6,"A9",20,11,5,9.63
12,"TORRE 47-2_D1SE",6,"A9",20,12,4,11.66
13,"TORRE 47-2_D1SE",6,"A9",20,13,8,12.74
14,"TORRE 47-2_D1SE",6,"A9",20,14,4,13.15
15,"TORRE 47-2_D1SE",6,"A9",20,15,8,13.83
16,"TORRE 47-2_D1SE",6,"A9",20,15.29,8,15.46
1,"TORRE 47-2_D1SE",6,"B1",5,1,0,0
2,"TORRE 47-2_D1SE",6,"B1",5,2,2,1.9
3,"TORRE 47-2_D1SE",6,"B1",5,3,2,2.85
4,"TORRE 47-2_D1SE",6,"B1",5,4,2,4.61
5,"TORRE 47-2_D1SE",6,"B1",5,5,2,5.29
6,"TORRE 47-2_D1SE",6,"B1",5,6,0,5.69
7,"TORRE 47-2_D1SE",6,"B1",5,7,0,7.19
8,"TORRE 47-2_D1SE",6,"B1",5,8,5,7.86
9,"TORRE 47-2_D1SE",6,"B1",5,9,2,8.68
10,"TORRE 47-2_D1SE",6,"B1",5,10,4,9.9
11,"TORRE 47-2_D1SE",6,"B1",5,11,5,11.66
12,"TORRE 47-2_D1SE",6,"B1",5,12,4,12.47
13,"TORRE 47-2_D1SE",6,"B1",5,13,8,14.64
14,"TORRE 47-2_D1SE",6,"B1",5,14,4,15.32
1,"TORRE 47-2_D1SE",6,"B2",23,1,0,0
2,"TORRE 47-2_D1SE",6,"B2",23,2,2,2.03
3,"TORRE 47-2_D1SE",6,"B2",23,3,2,2.85
4,"TORRE 47-2_D1SE",6,"B2",23,4,2,3.8
5,"TORRE 47-2_D1SE",6,"B2",23,5,2,5.29
6,"TORRE 47-2_D1SE",6,"B2",23,6,0,5.83
7,"TORRE 47-2_D1SE",6,"B2",23,7,0,6.51
8,"TORRE 47-2_D1SE",6,"B2",23,8,5,7.59
9,"TORRE 47-2_D1SE",6,"B2",23,9,2,8.68
10,"TORRE 47-2_D1SE",6,"B2",23,10,4,9.9
11,"TORRE 47-2_D1SE",6,"B2",23,11,5,11.12
12,"TORRE 47-2_D1SE",6,"B2",23,12,4,12.07
13,"TORRE 47-2_D1SE",6,"B2",23,13,4,12.47
14,"TORRE 47-2_D1SE",6,"B2",23,14,8,13.96
15,"TORRE 47-2_D1SE",6,"B2",23,15,4,15.73
1,"TORRE 47-2_D1SE",6,"B3",23,1,0,0
2,"TORRE 47-2_D1SE",6,"B3",23,2,2,2.17
3,"TORRE 47-2_D1SE",6,"B3",23,3,2,2.58
4,"TORRE 47-2_D1SE",6,"B3",23,4,2,3.25
5,"TORRE 47-2_D1SE",6,"B3",23,5,2,4.88
6,"TORRE 47-2_D1SE",6,"B3",23,6,0,5.69
7,"TORRE 47-2_D1SE",6,"B3",23,7,0,6.64
8,"TORRE 47-2_D1SE",6,"B3",23,8,5,7.32
9,"TORRE 47-2_D1SE",6,"B3",23,9,2,8.54
10,"TORRE 47-2_D1SE",6,"B3",23,10,4,9.63
11,"TORRE 47-2_D1SE",6,"B3",23,11,5,11.93
12,"TORRE 47-2_D1SE",6,"B3",23,12,4,12.07
